"localidade","cases","death","date"
"China","80,894","3,237","2020/3/18 20:33"
"Italy","35,713","2,978","2020/3/18 20:33"
"Iran","17,361","1,135","2020/3/18 20:33"
"Spain","14,769","638","2020/3/18 20:33"
"Germany","12,327","28","2020/3/18 20:33"
"USA","9,238","150","2020/3/18 20:33"
"France","9,134","264","2020/3/18 20:33"
"S. Korea","8,413","84","2020/3/18 20:33"
"Switzerland","3,115","33","2020/3/18 20:33"
"UK","2,626","104","2020/3/18 20:33"
"Netherlands","2,051","58","2020/3/18 20:33"
"Austria","1,646","4","2020/3/18 20:33"
"Norway","1,590","6","2020/3/18 20:33"
"Belgium","1,486","14","2020/3/18 20:33"
"Sweden","1,292","10","2020/3/18 20:33"
"Denmark","1,057","4","2020/3/18 20:33"
"Japan","899","29","2020/3/18 20:33"
"Malaysia","790","2","2020/3/18 20:33"
"Canada","727","9","2020/3/18 20:33"
"Diamond Princess","712","7","2020/3/18 20:33"
"Portugal","642","2","2020/3/18 20:33"
"Australia","596","6","2020/3/18 20:33"
"Czechia","522","","2020/3/18 20:33"
"Brazil","509","4","2020/3/18 20:33"
"Qatar","452","","2020/3/18 20:33"
"Israel","433","","2020/3/18 20:33"
"Greece","418","5","2020/3/18 20:33"
"Ireland","366","2","2020/3/18 20:33"
"Finland","359","","2020/3/18 20:33"
"Singapore","313","","2020/3/18 20:33"
"Pakistan","307","2","2020/3/18 20:33"
"Poland","287","5","2020/3/18 20:33"
"Slovenia","286","1","2020/3/18 20:33"
"Romania","260","","2020/3/18 20:33"
"Estonia","258","","2020/3/18 20:33"
"Bahrain","255","1","2020/3/18 20:33"
"Iceland","250","","2020/3/18 20:33"
"Saudi Arabia","238","","2020/3/18 20:33"
"Chile","238","","2020/3/18 20:33"
"Indonesia","227","19","2020/3/18 20:33"
"Thailand","212","1","2020/3/18 20:33"
"Egypt","210","6","2020/3/18 20:33"
"Luxembourg","203","2","2020/3/18 20:33"
"Philippines","202","17","2020/3/18 20:33"
"Turkey","191","2","2020/3/18 20:33"
"Hong Kong","181","4","2020/3/18 20:33"
"India","169","3","2020/3/18 20:33"
"Ecuador","168","3","2020/3/18 20:33"
"Iraq","164","12","2020/3/18 20:33"
"Russia","147","","2020/3/18 20:33"
"Peru","145","","2020/3/18 20:33"
"Kuwait","142","","2020/3/18 20:33"
"San Marino","140","14","2020/3/18 20:33"
"Lebanon","133","4","2020/3/18 20:33"
"South Africa","116","","2020/3/18 20:33"
"UAE","113","","2020/3/18 20:33"
"Armenia","110","","2020/3/18 20:33"
"Slovakia","105","","2020/3/18 20:33"
"Taiwan","100","1","2020/3/18 20:33"
"Argentina","97","2","2020/3/18 20:33"
"Mexico","93","","2020/3/18 20:33"
"Colombia","93","","2020/3/18 20:33"
"Bulgaria","92","2","2020/3/18 20:33"
"Croatia","89","","2020/3/18 20:33"
"Serbia","89","","2020/3/18 20:33"
"Panama","86","1","2020/3/18 20:33"
"Vietnam","76","","2020/3/18 20:33"
"Algeria","75","7","2020/3/18 20:33"
"Latvia","71","","2020/3/18 20:33"
"Costa Rica","69","1","2020/3/18 20:33"
"Brunei","68","","2020/3/18 20:33"
"Albania","59","2","2020/3/18 20:33"
"Hungary","58","1","2020/3/18 20:33"
"Cyprus","58","","2020/3/18 20:33"
"Faeroe Islands","58","","2020/3/18 20:33"
"Uruguay","58","","2020/3/18 20:33"
"Jordan","56","","2020/3/18 20:33"
"Morocco","54","2","2020/3/18 20:33"
"Andorra","53","","2020/3/18 20:33"
"Belarus","51","","2020/3/18 20:33"
"Sri Lanka","51","","2020/3/18 20:33"
"Malta","48","","2020/3/18 20:33"
"Palestine","44","","2020/3/18 20:33"
"North Macedonia","43","","2020/3/18 20:33"
"Oman","39","","2020/3/18 20:33"
"Bosnia and Herzegovina","39","","2020/3/18 20:33"
"Georgia","38","","2020/3/18 20:33"
"Cambodia","37","","2020/3/18 20:33"
"Moldova","36","1","2020/3/18 20:33"
"Senegal","36","","2020/3/18 20:33"
"Kazakhstan","36","","2020/3/18 20:33"
"Venezuela","36","","2020/3/18 20:33"
"Dominican Republic","34","2","2020/3/18 20:33"
"Azerbaijan","34","1","2020/3/18 20:33"
"Lithuania","34","","2020/3/18 20:33"
"Tunisia","29","","2020/3/18 20:33"
"Liechtenstein","28","","2020/3/18 20:33"
"Guadeloupe","27","","2020/3/18 20:33"
"Martinique","23","1","2020/3/18 20:33"
"Afghanistan","22","","2020/3/18 20:33"
"Burkina Faso","20","1","2020/3/18 20:33"
"New Zealand","20","","2020/3/18 20:33"
"Uzbekistan","18","","2020/3/18 20:33"
"Macao","17","","2020/3/18 20:33"
"Ukraine","16","2","2020/3/18 20:33"
"Jamaica","15","1","2020/3/18 20:33"
"Bangladesh","14","1","2020/3/18 20:33"
"Cameroon","13","","2020/3/18 20:33"
"Maldives","13","","2020/3/18 20:33"
"Bolivia","12","","2020/3/18 20:33"
"Réunion","12","","2020/3/18 20:33"
"French Guiana","11","","2020/3/18 20:33"
"Paraguay","11","","2020/3/18 20:33"
"Rwanda","11","","2020/3/18 20:33"
"Cuba","10","","2020/3/18 20:33"
"Monaco","9","","2020/3/18 20:33"
"Ivory Coast","9","","2020/3/18 20:33"
"Honduras","9","","2020/3/18 20:33"
"Guatemala","8","1","2020/3/18 20:33"
"Nigeria","8","","2020/3/18 20:33"
"Gibraltar","8","","2020/3/18 20:33"
"Guam","8","","2020/3/18 20:33"
"Montenegro","8","","2020/3/18 20:33"
"Channel Islands","7","","2020/3/18 20:33"
"DRC","7","","2020/3/18 20:33"
"Ghana","7","","2020/3/18 20:33"
"Kenya","7","","2020/3/18 20:33"
"Trinidad and Tobago","7","","2020/3/18 20:33"
"Ethiopia","6","","2020/3/18 20:33"
"Mongolia","6","","2020/3/18 20:33"
"Puerto Rico","6","","2020/3/18 20:33"
"Seychelles","6","","2020/3/18 20:33"
"Guyana","4","1","2020/3/18 20:33"
"Aruba","4","","2020/3/18 20:33"
"Equatorial Guinea","4","","2020/3/18 20:33"
"Curaçao","3","","2020/3/18 20:33"
"French Polynesia","3","","2020/3/18 20:33"
"Gabon","3","","2020/3/18 20:33"
"Kyrgyzstan","3","","2020/3/18 20:33"
"Mauritius","3","","2020/3/18 20:33"
"Mayotte","3","","2020/3/18 20:33"
"St. Barth","3","","2020/3/18 20:33"
"Saint Martin","3","","2020/3/18 20:33"
"Tanzania","3","","2020/3/18 20:33"
"Sudan","2","1","2020/3/18 20:33"
"Barbados","2","","2020/3/18 20:33"
"Benin","2","","2020/3/18 20:33"
"Bermuda","2","","2020/3/18 20:33"
"Greenland","2","","2020/3/18 20:33"
"Liberia","2","","2020/3/18 20:33"
"Mauritania","2","","2020/3/18 20:33"
"Namibia","2","","2020/3/18 20:33"
"New Caledonia","2","","2020/3/18 20:33"
"Saint Lucia","2","","2020/3/18 20:33"
"U.S. Virgin Islands","2","","2020/3/18 20:33"
"Zambia","2","","2020/3/18 20:33"
"Cayman Islands","1","1","2020/3/18 20:33"
"Nepal","1","","2020/3/18 20:33"
"Antigua and Barbuda","1","","2020/3/18 20:33"
"Bahamas","1","","2020/3/18 20:33"
"Bhutan","1","","2020/3/18 20:33"
"CAR","1","","2020/3/18 20:33"
"Congo","1","","2020/3/18 20:33"
"Djibouti","1","","2020/3/18 20:33"
"Gambia","1","","2020/3/18 20:33"
"Guinea","1","","2020/3/18 20:33"
"Vatican City","1","","2020/3/18 20:33"
"Montserrat","1","","2020/3/18 20:33"
"St. Vincent Grenadines","1","","2020/3/18 20:33"
"Sint Maarten","1","","2020/3/18 20:33"
"Somalia","1","","2020/3/18 20:33"
"Suriname","1","","2020/3/18 20:33"
"Eswatini","1","","2020/3/18 20:33"
"Togo","1","","2020/3/18 20:33"
"Total:","218,644","8,942","2020/3/18 20:33"
"China","80,894","3,237","2020/3/18 20:33"
"Italy","31,506","2,503","2020/3/18 20:33"
"Iran","16,169","988","2020/3/18 20:33"
"Spain","11,826","533","2020/3/18 20:33"
"Germany","9,367","26","2020/3/18 20:33"
"S. Korea","8,320","81","2020/3/18 20:33"
"France","7,730","175","2020/3/18 20:33"
"USA","6,411","109","2020/3/18 20:33"
"Switzerland","2,742","27","2020/3/18 20:33"
"UK","1,950","71","2020/3/18 20:33"
"Netherlands","1,705","43","2020/3/18 20:33"
"Norway","1,471","3","2020/3/18 20:33"
"Austria","1,332","4","2020/3/18 20:33"
"Belgium","1,243","10","2020/3/18 20:33"
"Sweden","1,196","8","2020/3/18 20:33"
"Denmark","977","4","2020/3/18 20:33"
"Japan","878","29","2020/3/18 20:33"
"Diamond Princess","712","7","2020/3/18 20:33"
"Malaysia","673","2","2020/3/18 20:33"
"Canada","598","8","2020/3/18 20:33"
"Australia","455","5","2020/3/18 20:33"
"Portugal","448","1","2020/3/18 20:33"
"Qatar","442","","2020/3/18 20:33"
"Czechia","434","","2020/3/18 20:33"
"Greece","387","5","2020/3/18 20:33"
"Brazil","346","1","2020/3/18 20:33"
"Israel","337","","2020/3/18 20:33"
"Finland","322","","2020/3/18 20:33"
"Ireland","292","2","2020/3/18 20:33"
"Slovenia","275","1","2020/3/18 20:33"
"Singapore","266","","2020/3/18 20:33"
"Iceland","247","","2020/3/18 20:33"
"Pakistan","247","","2020/3/18 20:33"
"Bahrain","241","1","2020/3/18 20:33"
"Poland","238","5","2020/3/18 20:33"
"Estonia","225","","2020/3/18 20:33"
"Romania","217","","2020/3/18 20:33"
"Chile","201","","2020/3/18 20:33"
"Egypt","196","6","2020/3/18 20:33"
"Philippines","187","14","2020/3/18 20:33"
"Thailand","177","1","2020/3/18 20:33"
"Indonesia","172","7","2020/3/18 20:33"
"Saudi Arabia","171","","2020/3/18 20:33"
"Hong Kong","168","4","2020/3/18 20:33"
"Iraq","154","11","2020/3/18 20:33"
"India","143","3","2020/3/18 20:33"
"Luxembourg","140","1","2020/3/18 20:33"
"Kuwait","130","","2020/3/18 20:33"
"Lebanon","124","4","2020/3/18 20:33"
"San Marino","119","11","2020/3/18 20:33"
"Peru","117","","2020/3/18 20:33"
"Russia","114","","2020/3/18 20:33"
"UAE","113","","2020/3/18 20:33"
"Ecuador","111","2","2020/3/18 20:33"
"Turkey","98","1","2020/3/18 20:33"
"Slovakia","97","","2020/3/18 20:33"
"South Africa","85","","2020/3/18 20:33"
"Mexico","82","","2020/3/18 20:33"
"Bulgaria","81","2","2020/3/18 20:33"
"Argentina","79","2","2020/3/18 20:33"
"Armenia","78","","2020/3/18 20:33"
"Taiwan","77","1","2020/3/18 20:33"
"Serbia","72","","2020/3/18 20:33"
"Panama","69","1","2020/3/18 20:33"
"Croatia","69","","2020/3/18 20:33"
"Vietnam","66","","2020/3/18 20:33"
"Colombia","65","","2020/3/18 20:33"
"Algeria","61","5","2020/3/18 20:33"
"Latvia","60","","2020/3/18 20:33"
"Brunei","56","","2020/3/18 20:33"
"Albania","55","1","2020/3/18 20:33"
"Hungary","50","1","2020/3/18 20:33"
"Costa Rica","50","","2020/3/18 20:33"
"Uruguay","50","","2020/3/18 20:33"
"Cyprus","49","","2020/3/18 20:33"
"Jordan","48","","2020/3/18 20:33"
"Faeroe Islands","47","","2020/3/18 20:33"
"Morocco","44","2","2020/3/18 20:33"
"Sri Lanka","44","","2020/3/18 20:33"
"Palestine","44","","2020/3/18 20:33"
"Andorra","39","","2020/3/18 20:33"
"Malta","38","","2020/3/18 20:33"
"Belarus","36","","2020/3/18 20:33"
"Azerbaijan","34","1","2020/3/18 20:33"
"Georgia","34","","2020/3/18 20:33"
"Bosnia and Herzegovina","34","","2020/3/18 20:33"
"Cambodia","33","","2020/3/18 20:33"
"Oman","33","","2020/3/18 20:33"
"Kazakhstan","33","","2020/3/18 20:33"
"Venezuela","33","","2020/3/18 20:33"
"North Macedonia","31","","2020/3/18 20:33"
"Moldova","30","","2020/3/18 20:33"
"Senegal","27","","2020/3/18 20:33"
"Tunisia","27","","2020/3/18 20:33"
"Lithuania","26","","2020/3/18 20:33"
"Afghanistan","22","","2020/3/18 20:33"
"Dominican Republic","21","1","2020/3/18 20:33"
"New Zealand","20","","2020/3/18 20:33"
"Liechtenstein","19","","2020/3/18 20:33"
"Guadeloupe","18","","2020/3/18 20:33"
"Martinique","15","1","2020/3/18 20:33"
"Burkina Faso","15","","2020/3/18 20:33"
"Ukraine","14","2","2020/3/18 20:33"
"Macao","13","","2020/3/18 20:33"
"Jamaica","13","","2020/3/18 20:33"
"Maldives","13","","2020/3/18 20:33"
"Bolivia","12","","2020/3/18 20:33"
"French Guiana","11","","2020/3/18 20:33"
"Uzbekistan","11","","2020/3/18 20:33"
"Bangladesh","10","","2020/3/18 20:33"
"Cameroon","10","","2020/3/18 20:33"
"Monaco","9","","2020/3/18 20:33"
"Paraguay","9","","2020/3/18 20:33"
"Réunion","9","","2020/3/18 20:33"
"Guatemala","8","1","2020/3/18 20:33"
"Honduras","8","","2020/3/18 20:33"
"Guyana","7","1","2020/3/18 20:33"
"Cuba","7","","2020/3/18 20:33"
"Ghana","7","","2020/3/18 20:33"
"Rwanda","7","","2020/3/18 20:33"
"Channel Islands","6","","2020/3/18 20:33"
"Ethiopia","6","","2020/3/18 20:33"
"Guam","5","","2020/3/18 20:33"
"Mongolia","5","","2020/3/18 20:33"
"Puerto Rico","5","","2020/3/18 20:33"
"Trinidad and Tobago","5","","2020/3/18 20:33"
"Ivory Coast","4","","2020/3/18 20:33"
"Kenya","4","","2020/3/18 20:33"
"Seychelles","4","","2020/3/18 20:33"
"Nigeria","3","","2020/3/18 20:33"
"Aruba","3","","2020/3/18 20:33"
"Curaçao","3","","2020/3/18 20:33"
"DRC","3","","2020/3/18 20:33"
"French Polynesia","3","","2020/3/18 20:33"
"Gabon","3","","2020/3/18 20:33"
"Gibraltar","3","","2020/3/18 20:33"
"Mayotte","3","","2020/3/18 20:33"
"St. Barth","3","","2020/3/18 20:33"
"Barbados","2","","2020/3/18 20:33"
"Liberia","2","","2020/3/18 20:33"
"Montenegro","2","","2020/3/18 20:33"
"Namibia","2","","2020/3/18 20:33"
"Saint Lucia","2","","2020/3/18 20:33"
"Saint Martin","2","","2020/3/18 20:33"
"U.S. Virgin Islands","2","","2020/3/18 20:33"
"Cayman Islands","1","1","2020/3/18 20:33"
"Sudan","1","1","2020/3/18 20:33"
"Nepal","1","","2020/3/18 20:33"
"Antigua and Barbuda","1","","2020/3/18 20:33"
"Bahamas","1","","2020/3/18 20:33"
"Benin","1","","2020/3/18 20:33"
"Bhutan","1","","2020/3/18 20:33"
"CAR","1","","2020/3/18 20:33"
"Congo","1","","2020/3/18 20:33"
"Equatorial Guinea","1","","2020/3/18 20:33"
"Gambia","1","","2020/3/18 20:33"
"Greenland","1","","2020/3/18 20:33"
"Guinea","1","","2020/3/18 20:33"
"Vatican City","1","","2020/3/18 20:33"
"Mauritania","1","","2020/3/18 20:33"
"St. Vincent Grenadines","1","","2020/3/18 20:33"
"Somalia","1","","2020/3/18 20:33"
"Suriname","1","","2020/3/18 20:33"
"Eswatini","1","","2020/3/18 20:33"
"Tanzania","1","","2020/3/18 20:33"
"Togo","1","","2020/3/18 20:33"
"Total:","198,234","7,978","2020/3/18 20:33"